probe_name,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G44620,-0.5278071792383203,-0.5322801804145879,-0.5109836954114868,-0.44274833506023614,-0.5635273989271344,-0.4389024554602059,-0.487671717945047,-0.4484737771784834
AT2G26080,-0.5925105436648139,-0.6976517417151709,-0.4338283416522572,-0.5844107891118663,-0.3709375466222747,-0.5077074722150016,-0.29287596253236636,-0.4690996935613565
AT2G26900,-0.17069326546094066,-0.07886361715621093,-0.3279253426124526,-0.3308382232946205,-0.3998670816683966,-0.2961777127405235,-0.3744299540921655,-0.31496110885581435
AT2G29980,-0.4307810956086186,-0.4270072277938606,-0.46138806770636237,-0.5010267842668977,-0.3158577331720163,-0.4370148842041008,-0.30931127075510456,-0.41389140240480404
AT2G29960,-0.811760529657901,-0.7068873853653046,-0.7538537812632877,-0.6546934371584382,-0.748600625313897,-0.6305822720479021,-0.7182640727064943,-0.6088495401914213
AT2G44860,-0.7175148949919161,-0.6818574525743625,-0.7352034494077081,-0.637267987229536,-0.7398838658458515,-0.646474404236399,-0.7459675278546704,-0.7025924775243593
AT2G22840,-0.6523481224048031,-0.5232453116264136,-0.7857494124940085,-0.7289774848183134,-0.8191558450661202,-0.7916956121657686,-0.828891128433031,-0.7188338428198552
AT2G29080,-0.6281350460124357,-0.720004676346654,-0.6456343397318666,-0.7475646314091424,-0.72030273950459,-0.7877378014674838,-0.7196336817250558,-0.7345194199493454
AT2G29020,-0.35316022870485725,-0.2740167829807758,-0.3257870880048066,-0.306700748207919,-0.13703783422972102,-0.32930154381539867,-0.0531943842841017,-0.12364647126856675
AT2G28950,-0.14543752070717955,-0.14866634416410568,0.014254790572244228,0.07472298912471587,0.2652595646976821,0.08846059773739161,0.18617591918721718,0.26169999049528875
AT2G47110;AT3G62250,1.9701945105809369,1.847705033252483,1.9275174967249014,1.8599280649890169,1.8656060710918856,2.01877620938388,1.6191604823348944,2.0418277319704328
AT2G46820,-0.624022298586938,-0.6343407352439643,-0.5497098621944103,-0.5809902378295262,-0.5931517481337527,-0.3808748616838163,-0.4436574644849111,-0.5975485141493083
AT2G03120,-0.27756677250380607,-0.3125655564769861,-0.2830219958518849,-0.25442439842121267,-0.3874235917031432,-0.36023335665737755,-0.3089999959781588,-0.3140965494864723
AT2G19730,3.105660356138795,2.728638202576471,3.148698461536109,2.6383293671834176,2.8007627661963292,2.850342681791175,3.0701989825454277,2.6220705772802386
AT2G19740,-0.5551482607148691,-0.5605894359508674,-0.5274957726594204,-0.4899261272751527,-0.5206384157474034,-0.48986687937504125,-0.5472497102524727,-0.517823789447844
AT2G19750,-0.48476814632078696,-0.2715405596832761,-0.5153196005881024,-0.26436335875103095,-0.55146289850397,-0.2338878612890581,-0.5743306158467572,-0.3192221514618569
AT2G35605,-0.6875092165918054,-0.7427591607020559,-0.721126606574038,-0.7156179732061552,-0.8477063905701532,-0.7954707546779787,-0.8201754346785487,-0.81560273794549
AT2G14880,-0.752733915198996,-0.6826605520222002,-0.8002420270569431,-0.7363348970105166,-0.8738566689742895,-0.726117733364959,-0.813700919318076,-0.7785501935451192
AT2G14890,0.18746331667783267,0.3232884313485253,0.21584468330421117,0.29163757138782714,0.1120214598463897,0.10216071169299251,0.02555813428318527,0.07180570044338881
AT2G46330,-0.10459967655258867,-0.0023683947496683766,-0.020491846802004634,0.12693480020798187,0.3129490820772063,0.3645331162915894,0.14508764863037182,0.4884615622255575
AT2G46290;AT2G46280,-0.28179537196945886,-0.22917706380983666,-0.30969078248613735,-0.25823218192419506,-0.31257315714057887,-0.1362821605298215,-0.19115136542647945,-0.0621392475639514
AT2G46230,-0.5143683425803558,-0.42339328027859097,-0.4979165839203163,-0.43274483602697755,-0.5114163368899061,-0.4196614065270063,-0.506410459517184,-0.4387166071530525
AT2G23930,-0.029933036672776397,-0.022914355623516635,0.003919893301954768,0.136357450910277,0.06685853941412512,0.07086356247886418,-0.33078923036436464,0.11818313518451945
AT4G35100;AT2G16850,3.153449322702678,3.4683597189889928,3.139135711763025,3.16606234521539,3.391228472770888,3.602022267488478,3.3759330684615905,3.8015148197847055
AT2G16930;AT5G15220,-0.631089273036385,-0.7041434622518591,-0.7763054546435717,-0.7258796270531752,-0.7086803935471959,-0.6916543355922029,-0.7859352092145109,-0.698393189158984
AT2G35120,-0.402918679951373,-0.440258368683183,-0.22534851740676407,-0.19485517514574366,-0.13128982617470558,-0.2786415668773544,-0.2864014471718937,-0.17033267721303394
AT2G07050,-0.7458986448298588,-0.7627697219440123,-0.7804037759748933,-0.8266245431236057,-0.759843981729202,-0.7739767981165248,-0.791849429976481,-0.7292085552519589
AT2G47940,-0.671289930970124,-0.6251050915938304,-0.6825786276750849,-0.6490785699591253,-0.7245347893912497,-0.6791720095437666,-0.6400095937823206,-0.7710779304243779
AT2G47730,-0.6645705126411418,-0.7133121809480064,-0.5522638885313209,-0.430421442703124,-0.6028159814570205,-0.5078901404010762,-0.5363550930593698,-0.49139297444224617
AT2G43090,-0.56528531422842,-0.11466846753897575,-0.4685749790265061,-0.3422615738035675,-0.5230386828473,-0.21245479412296245,-0.5139433091192722,-0.05299961994519332
AT2G38530,0.5252299397493496,0.34142509387886033,0.2975141301240269,0.036322460577690854,0.32362395417937767,0.5403816900861466,0.7980176207518784,0.44424552590778177
AT2G38550,-0.7675629763388191,-0.7140483554418575,-0.8382554423039846,-0.7331725005419379,-0.7334410436303397,-0.7249608348531527,-0.8013744381510224,-0.7306906570279738
AT2G38540,4.110560952442117,3.545591115889387,3.4926604735605107,3.349545879096385,3.438033681218872,3.6303967257254115,4.28796816491278,3.791201861593269
AT2G41420,-0.7863310068439077,-0.7830479830019146,-0.823287660050462,-0.7725411096405687,-0.7525800155058308,-0.7079118041528494,-0.7846278551513386,-0.6409617453384093
