AT1G04790 HIPP20 
AT1G04800 CRF8 
AT1G04810 RAD52-1 
AT1G04830 GDPD4 
AT1G04840 PDE338 
AT1G04850 CPB 
AT1G04880 A/N-InvF 
AT1G04890 dNK 
AT1G04900 PSY1R 
AT1G04910 LOX4 
AT1G04930 GIP2 
AT1G04945 SARD1 
AT1G04960 BBX16 
AT1G04970 TRM4 
AT1G04985 GDPD5 
AT1G04990 DPMS2 
AT1G05000 RKD2 
AT1G05020 OTP87 
AT1G05030 GASA6 
AT1G05040 ERDL6 
AT1G05060 LQY1 
AT1G05061 VAB1 
AT1G05070 PUB43 
AT1G05080 COG0212 
AT1G05085 EC1.1 
AT1G05090 IGMT5 
AT1G05120 LSM3B 
AT1G05135 AAE2 
AT1G05136 APPR6 
AT1G05140 LYM3 
AT1G05150 CCP2 
AT1G05170 TGA7 
AT1G05205 AUF1 
AT1G05210 TPR12 
AT1G05220 SNRK2-8 
AT1G05240 At1g78690p 
AT1G05250 BAS 
AT1G05270 RECA1 
AT1G05280 BRG2 
AT1G05290 SCI1 
AT1G05291 RGLG4 
AT1G05310 WRI4 
AT1G05320 FHY1 
AT1G05330 La2 
AT1G05340 Hsp70-15 
AT1G05350 CBSX4 
AT1G05360 GLYI7 
AT1G05370 BRCC36A 
AT1G05380 DGR1 
AT1G05390 MOT2 
AT1G05400 RAE1 
AT1G05410 FDM5 
AT1G05430 AT59 
AT1G05440 ATA27 
AT1G05450 ATAF1 
AT1G05510 ATAN11 
AT1G05520 ATARCA 
AT1G05540 ATB;BETA
AT1G05550 ATB2 
AT1G05562 ATBETAFRUCT4 
AT1G05575 ATCHX1 
AT1G05577 ATCHX5 
AT1G05600 ATCSA-1 
AT1G05615 ATDAD1 
AT1G05640 ATDUF1 
AT1G05650 ATE1 
AT1G05660 ATE2F2 
AT1G05670 ATERDJ2A 
AT1G05675 ATG12A 
AT1G05700 ATG18G 
AT1G05710 ATG18H 
AT1G05720 ATG8C 
AT1G05730 ATGA2OX1 
AT1G05740 ATHAL3B 
AT1G05770 ATHB-15 
AT1G05780 ATHB13 
AT1G05785 ATHSRP54A 
AT1G05790 ATJ1 
AT1G05805 ATKDSA2 
AT1G05835 ATL1F 
AT1G05840 ATL3 
AT1G05860 ATL8 
AT1G05870 ATLP-1 
AT1G05894 ATMAP4K;ALPHA1
AT1G05910 ATMPK13 
AT1G05920 ATMPK8 
AT1G05925 ATNTT2 
AT1G05930 ATOBGM 
AT1G05950 ATP-PRT1 
AT1G05960 ATP-PRT2 
AT1G05970 ATPC2 
AT1G05980 ATPI4K;ALPHA
AT1G06000 ATPUP20 
AT1G06002 ATRPAC42 
AT1G06010 ATRX 
AT1G06020 ATS1 
AT1G06030 ATS9 
AT1G06050 ATSAC1 
AT1G06060 ATSBT5.2 
AT1G06070 SR30 
AT1G06090 ATSYP24 
AT1G06100 ATTPS6 
AT1G06120 ATTRX4 
AT1G06135 ATU2AF35A 
AT1G06137 ATUBC2-1 
AT1G06140 ATWHY2 
AT1G06148 ATX1 
AT1G06170 ATX2 
AT1G06190 ATXRCC1 
AT1G06200 AUL1 
AT1G06210 AVA-P2 
AT1G06240 AVA-P4 
AT1G06250 AVP1 
AT1G06260 AXR1 
AT1G06265 AXR3 
AT1G06270 AXR4 
AT1G06320 AXS2 
AT1G06330 AlaAT1 
AT1G06340 AtHB23 
AT1G06350 AtMYB103 
AT1G06360 AtkdsA1 
AT1G06370 B-ALPHA
AT1G06380 BAC2 
AT1G06420 BAG5 
AT1G06440 BAN 
AT1G06450 BARD1 
AT1G06470 BBD1 
AT1G06475 BCA3 
AT1G06480 BCA4 
AT1G06500 BCA6 
AT1G06510 BCAT-1 
AT1G06515 BCAT-2 
AT1G06530 BCDH;BETA1
AT1G06540 BCP1 
AT1G06550 BDG1 
AT1G06560 BEE1 
AT1G06580 BEE3 
AT1G06590 BEH4 
AT1G06610 BEL10 
AT1G06620 BES1 
AT1G06630 BETA-TIP 
AT1G06640 BETA-VPE 
AT1G06645 BFN1 
AT1G06650 BGAL15 
AT1G06660 BGAL16 
AT1G06690 BGAL17 
AT1G06700 BGAL5 
AT1G06710 BGLU11 
AT1G06720 BGLU18 
AT1G06730 BGLU21 
AT1G06740 BGLU22 
AT1G06750 BGLU34 
AT1G06760 BGLU35 
AT1G06790 BGLU36 
AT1G06810 BGLU4 
AT1G06830 BGLU40 
AT1G06840 BGLU45 
AT1G06860 BGLU46 
AT1G06870 BGLU5 
AT1G06880 BGLU6 
AT1G06890 BIM2 
AT1G06900 BIP3 
AT1G06923 BLH11 
AT1G06925 BLH3 
AT1G06930 BLT 
AT1G06960 BNS 
AT1G06980 BON3 
AT1G06990 BOR4 
AT1G07010 BOR5 
AT1G07020 BPC2 
AT1G07025 BPC3 
AT1G07030 BPEp 
AT1G07040 BPS1 
AT1G07050 BRD4 
AT1G07060 BRL1 
AT1G07070 BRX 
AT1G07080 BRX-LIKE3 
AT1G07100 BS1 
AT1G07119 BSL2 
AT1G07120 BSU1 
AT1G07128 BT3 
AT1G07135 BTF3 
AT1G07160 BUB3.2 
AT1G07170 BXL2 
AT1G07175 BZIP60 
AT1G07190 BZO1 
AT1G07200 BZR1 
AT1G07210 C/VIF1 
AT1G07220 CAB1 
AT1G07270 CAB2 
AT1G07280 CAB3 
AT1G07300 CAD1 
AT1G07310 CAD1 
AT1G07330 CAF2 
AT1G07350 CAK4 
AT1G07360 CAL 
AT1G07380 CALS1 
AT1G07400 CAM4 
AT1G07440 CAMS1 
AT1G07450 CARB 
AT1G07460 CAT1 
AT1G07470 CAT2 
AT1G07473 CAT3 
AT1G07476 CAT8 
AT1G07480 CAT9 
AT1G07485 CAX11 
AT1G07500 CAX5 
AT1G07520 CAX6 
AT1G07550 CB5-A 
AT1G07560 CB5LP 
AT1G07580 CBL8 
AT1G07590 CCB4 
AT1G07615 CCC1 
AT1G07650 CCMH 
AT1G07660 CCOAMT 
AT1G07680 CCR1 
AT1G07690 CCR2 
AT1G07700 CCS 
AT1G07702 CCX4 
AT1G07705 CDC5 
AT1G07710 CDKB2;1 
AT1G07728 CDKB2;2 
