gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G44470,13.7,15.7,21.1,4.9,13.0,21.1,10.8,9.1
AT2G44480,2.5,1.8,1.9,1.2,1.9,3.6,1.1,2.5
AT2G44490,212.7,262.3,177.3,296.9,143.5,267.8,123.4,148.7
AT2G44500,47.3,27.3,56.1,49.7,57.8,64.9,51.7,55.8
AT2G44550;AT2G44540,1.2,4.5,10.1,6.7,1.5,1.8,8.2,18.0
AT2G44250,2.3,0.7,5.5,0.9,0.8,0.8,0.9,1.2
AT2G44270,157.6,158.2,158.9,180.4,176.5,192.5,167.3,165.4
NF-YA2,116.9,144.7,117.1,102.1,99.4,83.9,80.6,103.1
AT2G44560,11.8,1.0,5.7,1.4,1.9,0.8,8.8,3.0
AT2G44195,0.8,1.2,2.7,1.0,0.6,0.8,0.7,0.7
AT2G44530,312.1,285.8,287.0,248.5,268.5,247.1,313.8,276.0
AT2G44310,708.0,586.8,718.3,626.4,767.8,709.4,822.6,723.0
AT2G44210,165.0,121.0,194.2,217.8,268.5,222.6,203.5,229.6
AT2G44350,643.5,614.1,630.9,626.8,579.5,544.8,632.4,570.9
AT2G44420,93.4,101.7,103.8,91.8,77.7,109.6,105.4,84.2
AT2G44525,340.6,328.1,389.3,399.5,471.7,405.2,370.1,410.1
AT2G44510,112.1,170.3,139.2,182.2,116.3,151.1,117.5,139.7
AT2G44200,116.5,179.1,115.3,156.1,119.9,161.0,101.6,138.7
AT2G44520,152.3,225.3,130.5,210.8,141.1,167.0,168.4,192.5
AT2G44260,2.7,1.3,2.9,1.1,1.1,1.3,1.9,1.5
AT2G44230,26.8,18.7,27.2,21.4,20.5,35.5,30.2,43.0
AT2G44240,3.3,3.6,5.4,2.2,2.0,7.7,2.4,1.9
AT2G39940,145.4,125.7,185.2,139.2,169.4,145.2,154.4,148.1
AT2G39950,76.9,81.3,57.2,111.5,93.2,89.9,87.0,121.8
267348_at,446.6,456.2,519.3,627.3,564.8,505.9,431.3,754.7
AT2G40010,328.4,321.1,296.0,305.6,205.1,247.8,250.6,245.2
AT2G40030,114.4,132.9,95.8,130.5,163.9,116.0,137.2,100.6
AT2G40050,3.0,2.3,4.4,12.5,2.1,1.1,2.8,4.2
AT2G40070,259.3,261.0,237.5,240.0,191.6,189.3,256.9,235.4
AT2G39880,167.9,189.3,161.9,153.0,124.5,146.3,147.3,154.5
AT2G39900,916.9,679.7,484.4,440.8,495.9,511.4,498.9,467.7
AT2G39930,214.8,301.1,294.0,251.7,254.0,272.4,207.0,287.2
AT2G40000,28.6,27.3,31.0,36.7,29.5,26.2,24.7,23.0
AT2G39890,74.7,118.9,68.1,95.6,108.7,72.5,112.3,118.0
AT2G40020,46.3,64.0,69.3,57.8,39.5,64.1,55.3,77.4
AT2G40060,655.4,712.5,663.5,692.0,610.2,702.9,634.5,703.0
AT2G39920,33.3,36.2,16.3,16.4,15.3,13.2,21.4,15.2
AT2G39910,159.3,165.0,181.8,148.0,150.5,129.8,130.7,154.0
AT2G39970,312.8,365.4,384.6,385.1,406.1,398.4,427.2,366.4
AT2G40080,76.1,143.1,12.5,4.3,5.9,2.2,3.9,12.4
AT2G39980,15.4,18.3,23.9,44.3,35.3,44.0,41.0,66.6
AT2G39990,1255.5,1416.7,1277.9,1462.6,1180.2,1339.0,1145.2,1396.1
AT2G39870,897.9,888.0,701.2,705.0,728.0,699.0,741.6,729.3
SIS,491.6,579.1,501.8,619.7,576.9,666.7,585.6,641.6
ASPGA1,843.2,732.9,839.3,715.6,827.8,714.2,861.3,688.0
AT2G34670,95.0,72.1,105.1,73.1,94.6,56.7,89.4,64.5
AT2G34750,1342.9,1164.0,1329.7,1262.4,1348.1,1335.3,1277.9,1271.0
AT2G34740,1.9,2.7,4.6,3.3,2.1,1.6,2.7,1.7
267314_at,204.8,238.4,198.2,201.7,181.4,139.1,191.0,229.0
267315_at,151.4,163.9,168.1,230.1,184.1,202.5,240.6,202.9
AT2G34710,289.8,356.8,319.3,393.0,350.5,304.1,288.6,295.0
AT2G34700,364.6,428.3,298.8,308.1,152.4,206.3,102.5,112.6
AT2G34770,176.9,227.0,179.6,195.8,178.4,165.5,188.8,236.2
AT2G34660,344.7,339.1,300.8,264.2,263.6,197.8,230.5,224.9
SYN1,0.5,0.2,3.8,0.7,1.3,0.6,2.2,0.6
SYN4,2.6,6.7,9.6,8.0,4.3,5.8,11.0,8.3
AT2G19330,29.2,33.1,37.3,36.0,31.8,36.4,48.4,41.6
SYNC1,271.8,243.5,221.3,222.9,270.2,231.0,285.7,244.3
267324_at,1.3,1.0,15.7,0.6,1.2,1.3,2.0,0.9
267325_at,6.5,8.7,18.1,1.4,10.6,7.3,17.2,4.1
SYP31,63.5,56.7,51.6,48.0,75.7,54.8,58.0,36.7
SnRK1.3,9.9,7.6,4.2,1.1,15.8,3.3,2.3,2.0
SUVH1,1.3,1.6,2.5,2.5,0.6,2.7,1.4,1.9
SUVR2,6.1,10.1,4.3,3.3,28.5,1.8,2.6,1.7
SVL4,300.4,381.6,274.8,335.9,298.9,306.3,268.5,381.1
SVL5,90.0,75.6,66.8,62.0,64.0,44.4,85.6,86.9
SWI1,5.6,1.7,10.0,2.1,1.4,4.6,7.0,3.4
AT2G19430,396.0,411.7,437.2,363.3,321.4,352.3,351.1,392.2
TAAC,0.7,0.4,6.6,0.4,1.2,1.2,6.5,0.4
AT2G19440;AT1G64760,98.3,200.0,94.0,181.5,123.0,137.5,114.9,162.8
SYN2,3.7,5.3,7.1,5.0,23.5,22.1,19.4,5.9
SYP41,443.0,361.8,435.2,350.6,345.8,385.6,388.1,375.1
SYP132,88.5,117.3,101.6,130.2,125.0,149.7,127.8,165.0
TAF4,70.7,53.3,50.0,70.6,70.4,60.1,62.1,53.7
AT2G19450,274.4,324.2,185.2,159.9,151.4,124.4,131.6,123.2
SYTD,50.2,49.3,40.5,39.3,39.7,36.2,36.8,46.4
SYTC,44.6,50.4,57.3,57.6,63.5,61.7,46.1,48.6
267283_at,1.0,5.5,15.6,0.5,0.8,2.3,1.5,1.0
AT2G23700,202.4,202.3,180.8,186.6,203.5,151.0,163.9,133.0
267285_at,26.7,48.3,58.0,47.6,46.0,61.0,38.0,63.4
AT2G23640,25.7,7.0,9.7,17.2,5.5,20.0,25.7,31.3
AT2G23630,23.0,19.3,3.8,12.1,13.4,26.9,14.9,24.6
AT2G23680,26.4,30.0,50.4,80.8,115.3,103.1,100.9,121.2
AT2G23770,6.1,1.6,2.3,2.0,7.5,0.7,5.2,2.8
